mode,robot,question_type,correct,total,accuracy
normal,ALL,direct_pick,668,800,0.835
normal,ALL,reachable_space,611,800,0.7638
normal,CR5,direct_pick,168,200,0.84
normal,CR5,reachable_space,157,200,0.785
normal,FR5,direct_pick,175,200,0.875
normal,FR5,reachable_space,160,200,0.8
normal,PANDA,direct_pick,164,200,0.82
normal,PANDA,reachable_space,157,200,0.785
normal,UR5,direct_pick,161,200,0.805
normal,UR5,reachable_space,137,200,0.685
black,ALL,direct_pick,646,800,0.8075
black,ALL,reachable_space,593,800,0.7412
black,CR5,direct_pick,157,200,0.785
black,CR5,reachable_space,151,200,0.755
black,FR5,direct_pick,174,200,0.87
black,FR5,reachable_space,159,200,0.795
black,PANDA,direct_pick,160,200,0.8
black,PANDA,reachable_space,151,200,0.755
black,UR5,direct_pick,155,200,0.775
black,UR5,reachable_space,132,200,0.66
mismatch,ALL,direct_pick,657,800,0.8213
mismatch,ALL,reachable_space,613,800,0.7662
mismatch,CR5,direct_pick,163,200,0.815
mismatch,CR5,reachable_space,157,200,0.785
mismatch,FR5,direct_pick,174,200,0.87
mismatch,FR5,reachable_space,161,200,0.805
mismatch,PANDA,direct_pick,161,200,0.805
mismatch,PANDA,reachable_space,159,200,0.795
mismatch,UR5,direct_pick,159,200,0.795
mismatch,UR5,reachable_space,136,200,0.68
